id,name,go_live_on,region,status
4449,12th & Valencia,2019-10-03,DTLA,True
4450,Virgil & 6th,2019-09-25,DTLA,True
4451,Melbourne & Vermont,2019-11-13,DTLA,True
4452,Hillhurst & Kingswell,2019-10-09,DTLA,True
4453,Lucile & Hoover,2019-10-09,DTLA,True
4454,Vermont & Exposition,2019-09-25,DTLA,True
4455,Rowena & Hyperion,2019-11-07,DTLA,True
4456,Ardmore & Olympic,2019-11-12,DTLA,True
4457,Hollywood & Rodney,2019-11-06,DTLA,True
4458,Culver & Centinela,2019-11-06,Westside,False
4459,Culver & McConnell,2019-10-15,Westside,False
4460,Culver & Inglewood,2019-10-15,Westside,False
4461,Rose & Overland,2019-10-17,Westside,False
4462,Overland & Charnock,2019-10-17,Westside,False
4463,Tujunga & Hatteras,2019-10-18,North Hollywood,True
4469,Playa Vista Library,2019-10-16,Westside,False
4470,McConnell & Runway,2019-11-05,Westside,False
4472,Santa Monica & Sunset,2019-11-05,DTLA,True
4473,Vendome & Beverly,2019-11-21,DTLA,True
4474,Ambrose & Hillhurst,2019-11-26,DTLA,True
4475,San Pedro & Winston,2020-01-15,DTLA,True
4476,Sunset & Silver Lake,2020-01-15,DTLA,True
4478,Tracy & Hyperion,2020-02-19,DTLA,True
4479,Ellendale Pl & Adams,2020-01-08,DTLA,True
4480,Figueroa Plaza,2020-01-09,DTLA,True
4482,Wilcox & Fountain,2019-11-07,DTLA,True
4483,Glendale & Silver Lake,2019-11-12,DTLA,True
4484,Campus Center Drive,2019-11-21,Westside,False
4486,Vista Hermosa Park,2021-02-03,DTLA,True
4490,Figueroa & 4th,#N/A,DTLA,True
4491,Main & Winston,2019-12-11,DTLA,True
4493,Sunset Triangle Plaza,2019-12-11,DTLA,True
4494,Laveta Terrace & Sunset,2019-12-18,DTLA,True
4496,Concert Park,2020-01-08,Westside,False
4497,Riverside & Laurel Canyon,2020-02-27,North Hollywood,True
4498,Vineland & Oxnard,2020-04-14,North Hollywood,True
4499,Victory & Colfax,2020-04-14,North Hollywood,True
4500,Burbank & Cahuenga,2020-03-05,North Hollywood,True
4502,North Hollywood Plaza,2020-03-05,North Hollywood,True
4503,Stanford & Washington,2020-04-23,Westside,False
4504,Vista Del Mar & Culver,2020-02-27,Westside,False
4505,Glen Alla Park,2020-02-18,Westside,False
4508,Ciclavia South Central Hub,2020-02-13,DTLA,False
4509,Western & Hollywood,2020-02-23,DTLA,True
4510,Mohawk Bend,2020-08-05,DTLA,True
4511,Union Station East Portal,2020-08-13,DTLA,True
4512,Figueroa & 11th,2020-10-08,DTLA,True
4513,Edgemont & Melrose,2020-05-12,DTLA,True
4516,7th & Hill,2020-09-24,DTLA,True
4518,Normandie & 8th,2020-07-16,DTLA,True
4521,Inglewood & Ballona,2021-03-04,Westside,True
4523,Western & 3rd,#N/A,DTLA,True
4524,Wilshire & Normandie,2020-04-22,DTLA,True
4536,Venice & Abbot Kinney,2020-04-17,Westside,True
4538,5th & Western,2020-12-05,DTLA,True
4540,1st & Utah,2020-07-09,DTLA,True
4541,Glen Alla Park,2020-09-10,Westside,False
4542,Concert Park,2020-07-15,Westside,False
4543,Toes Beach at Culver Blvd,2020-07-28,Westside,True
4544,Dockweiler Beach at Imperial Hwy,2020-10-21,Westside,True
4545,Vista Del Mar & Culver,2020-10-21,Westside,True
4546,Expo/Bundy E Line Station,2020-10-21,Westside,True
4547,Stanford & Washington,2021-03-03,Westside,True
4548,Durango & Venice,2021-02-03,Westside,True
4549,Barrington & National,#N/A,Westside,True
